,Title,Source,Description,Link,Time
0,Jack Smith's last chapter: 4 takeaways from the special counsel report on Trump...,USA TODAY ·  via Yahoo News,"Capitol, unprecedented criminal charges against a former president and Donald Trump’s eventual... ",https://www.yahoo.com/news/jack-smiths-last-chapter-4-162838916.html?fr=sycsrp_catchall,36 minutes ago
1,House GOP speaker orders Capitol flags to fly at full-staff at Trump's...,USA TODAY ·  via Yahoo News,"WASHINGTON ― At the request of President-elect Donald Trump, House Speaker Mike Johnson is... ",https://www.yahoo.com/news/house-gop-speaker-orders-capitol-165656711.html?fr=sycsrp_catchall,8 minutes ago
2,"Michelle Obama will skip Donald Trump inauguration, but ex-Presidents Obama,...",Chicago Tribune,"Former first lady Michelle Obama will skip the inauguration of President-elect Donald Trump, the... ",https://www.chicagotribune.com/2025/01/14/trump-inauguration-obama/,13 minutes ago
3,Michelle Obama to skip Trump’s inauguration,The Independent ·  via Yahoo News,"Former First Lady Michelle Obama will skip the inauguration of President-elect Donald Trump, the second time in two weeks that she is not attending a... ",https://www.yahoo.com/news/michelle-obama-skip-trump-inauguration-160853160.html?fr=sycsrp_catchall,16 minutes ago
4,Hegseth hearing live updates: Pentagon pick grilled on sexual assault allegation,ABC News ·  via Yahoo News,"Pete Hegseth, President-elect Donald Trump's embattled pick for defense secretary, is facing... ",https://www.yahoo.com/news/hegseth-hearing-live-updates-trumps-131300541.html?fr=sycsrp_catchall,14 minutes ago
5,"When does Trump take office? A guide to the 2025 inauguration, including what to...",Yahoo News,President-elect Donald Trump's Inauguration Day on Jan. 20 is less than a week away. Here's what... ,https://www.yahoo.com/news/when-does-trump-take-office-a-guide-to-the-2025-inauguration-including-what-to-expect-the-schedule-and-tickets-164218565.html?fr=sycsrp_catchall,36 minutes ago
6,Maddow Blog | Trump pushes incoherent response to Jack Smith’s report on...,MSNBC ·  via Yahoo News,Donald Trump had plenty of time to come up with a compelling response to special counsel Jack... ,https://www.yahoo.com/news/maddow-blog-trump-pushes-incoherent-144106829.html?fr=sycsrp_catchall,1 hour ago
7,How Trump’s ‘salty’ envoy may have forced Israel’s hand on hostage deal,The Telegraph ·  via Yahoo News,The call last week from Donald Trump’s Middle East envoy was reportedly blunt and short on... ,https://www.yahoo.com/news/trump-salty-envoy-may-forced-154940428.html?fr=sycsrp_catchall,43 minutes ago
8,What Trump Says He Will Do on Day One,Time ·  via Yahoo News,"A little over a year ago, Donald Trump claimed he would be a “dictator”—but only for the first 24 hours of his presidency. Now, as his Jan. 20... ",https://www.yahoo.com/news/trump-says-day-one-224800898.html?fr=sycsrp_catchall,1 hour ago
9,Maddow Blog | Trump haunted by his pre-election boasts about the stock market,MSNBC ·  via Yahoo News,"Two weeks before Election Day 2020, Donald Trump and Joe Biden met for their final presidential... ",https://www.yahoo.com/news/maddow-blog-trump-haunted-pre-164218816.html?fr=sycsrp_catchall,22 minutes ago
10,Polish Film Institute Begins Search For New Chief After Karolina Rozwód Exited...,Deadline ·  via Yahoo News,EXCLUSIVE: The Polish Film Institute (PISF) is set to begin its search for a new director following... ,https://www.yahoo.com/news/polish-film-institute-begins-search-153551193.html?fr=sycsrp_catchall,1 hour ago
11,Polish Army Says Reported 'Shadow Fleet' Incident Did Not Happen,US News & World Report,"The Polish army's operational command said on Tuesday an incident described in a media report about a Russian 'shadow fleet' ship circling near the Baltic Pipe gas pipeline ""did not happen"". ",https://www.usnews.com/news/world/articles/2025-01-14/polish-army-says-reported-shadow-fleet-incident-did-not-happen,3 hours ago
12,Polish town invites Elon Musk to buy its castle for his European headquarters,Associated Press ·  via Yahoo News,A town in Poland is encouraging Elon Musk to buy its vast 13th-century castle and turn it into his... ,https://www.yahoo.com/news/polish-town-invites-elon-musk-144437989.html?fr=sycsrp_catchall,2 hours ago
13,Schottel to Equip Polish Frigates with Transverse Thrusters,MarineLink,Schottel ahs secured a contract to supply Polish MIECZNIK-class multi-role frigates with transverse... ,https://www.marinelink.com/news/schottel-equip-polish-frigates-transverse-521093,10 hours ago
14,Paris Olympic Medals Have Already Deteriorated,newser,"""The Monnaie de Paris has taken the issue of damaged medals very seriously since the first exchange requests in August, and has mobilized its internal... ",https://www.newser.com/story/362469/paris-olympic-medals-have-already-deteriorated.html,2 hours ago
15,Polish army denies report of 'shadow fleet' ship circling near pipeline,Reuters ·  via Yahoo News,"WARSAW (Reuters) -The Polish army on Tuesday denied a media report saying that a Russian ""shadow fleet"" ship had been seen circling over the Baltic Pipe subsea pipeline.A report by Polish state ... ",https://www.yahoo.com/news/ship-seen-circling-around-baltic-100933184.html?fr=sycsrp_catchall,7 hours ago
16,Polish Presidential Contest Tightens as Tusk Ally Loses Ground,Bloomberg,Have a confidential tip for our reporters? Poland’s presidential race tightened five months before... ,https://www.bloomberg.com/news/articles/2025-01-14/polish-presidential-contest-tightens-as-tusk-ally-loses-ground,5 hours ago
17,NFL power rankings expect Bills vs. Ravens to be epic matchup: What the experts...,Democrat and Chronicle ·  via Yahoo Sports,"We've reached the divisional round of the playoffs, where every play call, tackle or catch can... ",https://sports.yahoo.com/nfl-power-rankings-expect-bills-083032557.html?fr=sycsrp_catchall,9 hours ago
18,Polish international hub airport project advances with crucial location decision,FlightGlobal,Polish authorities have formally made a location decision for the site of the country’s future... ,https://www.flightglobal.com/air-transport/polish-international-hub-airport-project-advances-with-crucial-location-decision/161369.article,12 hours ago
19,Polish government adopts resolution protecting Netanyahu from arrest if he...,FOX21 Colorado Springs,"WARSAW, Poland (AP) — The Polish government adopted a resolution on Thursday vowing to ensure the... ",https://www.fox21news.com/news/international/ap-international/ap-polish-president-seeks-protection-for-netanyahu-if-he-attends-auschwitz-anniversary-event/,5 days ago
20,"Euro to Fall to Parity If US Yields Hit 5%, State Street Says",Bloomberg ·  via Yahoo Finance,"(Bloomberg) -- Rising bond yields in the US will heap more pressure on the euro, triggering a drop... ",https://finance.yahoo.com/news/euro-fall-parity-us-yields-122453779.html?fr=sycsrp_catchall,5 hours ago
21,Could a one world currency work?,Bankrate ·  via Yahoo Finance,Key takeaways The euro shows both the promises and pitfalls of unified currency systems. Economic sovereignty remains a key barrier to global adoption.... ,https://finance.yahoo.com/news/could-one-world-currency-152424852.html?fr=sycsrp_catchall,2 hours ago
22,What F1 learned about Bearman as he trod a path taken by Leclerc and Norris,Motorsport.com,"Charles Leclerc, Lando Norris, and now Oliver Bearman – the most recent Formula 1 drivers to have... ",https://www.motorsport.com/f1/news/what-f1-learned-about-bearman-as-he-trod-a-path-taken-by-leclerc-and-norris/10688725/,2 hours ago
23,"Euro 2025, WSL and finals: What can we expect from women’s football in 2025?",Hayters TV ·  via Yahoo Sports,"Chelsea hunt a sixth consecutive Women’s Super League title, three English teams go for Champions... ",https://sports.yahoo.com/euro-2025-wsl-finals-expect-111600269.html?fr=sycsrp_catchall,6 hours ago
24,Morning briefing: Euro is still vulnerable to fall further towards 1.0100,The Forex Market,The Euro had slipped even below 1.02 before rising back from there. Stil the pair can be vulnerable... ,https://www.fxstreet.com/analysis/morning-briefing-euro-is-still-vulnerable-to-fall-further-towards-10100-202501140400,13 hours ago
25,Wall Street Slams Hold Button in Run-Up to CPI: Markets Wrap,Bloomberg ·  via Yahoo Finance,"(Bloomberg) -- Stocks and bonds saw small moves, with Wall Street traders unwilling to make any... ",https://finance.yahoo.com/news/asian-shares-look-shaky-fed-223739973.html?fr=sycsrp_catchall,40 minutes ago
26,Euro Tech (NASDAQ:CLWT) Now Covered by Analysts at StockNews.com,ETF DAILY NEWS,StockNews.com began coverage on shares of Euro Tech (NASDAQ:CLWT – Free Report) in a research note released on Monday. The brokerage issued a sell rating on the stock. Euro Tech Stock Performance ... ,https://www.etfdailynews.com/2025/01/14/euro-tech-nasdaqclwt-now-covered-by-analysts-at-stocknews-com-2/,14 hours ago
27,Euro giants make ‘unstoppable’ Man Utd star their priority as crunch agent...,Stretty News ·  via Yahoo Sports,"Keen to capitalise on the forward’s exile at Old Trafford, AC Milan are first in the queue to try... ",https://sports.yahoo.com/euro-giants-unstoppable-man-utd-125500537.html?fr=sycsrp_catchall,4 hours ago
28,EUR/JPY advances to near 161.50 due to improved market sentiment,The Forex Market,EUR/JPY strengthens as US President-elect Donald Trump's economic team considering a gradual... ,https://www.fxstreet.com/news/eur-jpy-advances-to-near-16150-due-to-improved-market-sentiment-202501140315,13 hours ago
29,"CAC 40 analysis as EUR/USD eyes parity, France bond yields surge",Invezz,The CAC 40 index remained on edge as the euro crashed to near parity and French government bond... ,https://invezz.com/news/2025/01/14/cac-40-as-eur-usd-eyes-parity-france-bond-yields-surge/,10 hours ago
30,German authorities say no more foot-and-mouth disease cases found,Reuters ·  via Yahoo News,German authorities said on Tuesday they had found no new cases of the livestock illness... ,https://www.yahoo.com/news/german-authorities-no-more-foot-140819684.html?fr=sycsrp_catchall,3 hours ago
31,Retired Bomb-Sniffing Shepherd Is Totally Intimidated by Tiny Shih-Tzu Brother &...,PetHelpful ·  via AOL,"For Dorka, a retired bomb-sniffing German Shepherd, life is pretty easy these days. She lives with... ",https://www.aol.com/retired-bomb-sniffing-shepherd-totally-153453994.html,2 hours ago
32,"Zelenskyy, Macron discuss Western troop deployment in Ukraine before German...",Associated Press ·  via Yahoo News,Ukrainian President Volodymyr Zelenskyy said that he has held further discussions with French... ,https://www.yahoo.com/news/zelenskyy-macron-discuss-western-troop-103945932.html?fr=sycsrp_catchall,6 hours ago
33,"German cabinet plans to allow military to shoot down illegal drones, draft shows",Reuters ·  via Yahoo News,Germany's cabinet is set to approve plans on Wednesday authorising the armed forces to shoot down... ,https://www.yahoo.com/news/german-cabinet-plans-allow-military-153942961.html?fr=sycsrp_catchall,1 hour ago
34,Ukraine-Russia war latest: Kyiv launches massive drone and missile attack on...,The Independent US ·  via AOL,"...security guarantees for Ukraine, Lavrov says Ukraine launched 'massive attack' that hit multiple... ",https://www.aol.com/ukraine-russia-war-live-frontline-144843397.html,1 hour ago
35,German league's appeal against policing costs contribution rejected,dpa international ·  via Yahoo News,The German Football League (DFL) had its appeal against having to contribute to policing costs... ,https://www.yahoo.com/news/german-leagues-appeal-against-policing-100518042.html?fr=sycsrp_catchall,7 hours ago
36,German defense minister Boris Pistorius visits Ukraine in show of support,United Press International ·  via Yahoo News,German defense minister Boris Pistorius arrived in Kyiv on a surprise visit amid rising uncertainty... ,https://www.yahoo.com/news/german-defense-minister-boris-pistorius-122607860.html?fr=sycsrp_catchall,5 hours ago
37,German Meat Exports Threatened by Foot-and-Mouth Outbreak,Bloomberg ·  via Yahoo Finance,(Bloomberg) -- German meat exports are under threat following the first case of foot-and-mouth... ,https://finance.yahoo.com/news/german-meat-exports-threatened-foot-170448716.html?fr=sycsrp_catchall,6 hours ago
38,‘Microplastics’ Emissions From Car Tires Under Scrutiny,PlasticsToday.com,The German Federal Environment Agency estimates that tire contact with road surfaces produces at... ,https://www.plasticstoday.com/automotive-mobility/-microplastics-emissions-from-car-tires-under-scrutiny,2 hours ago
39,"German Conservatives, Scholz’s SPD Slip in Latest Opinion Poll",Bloomberg,Germany’s opposition conservatives maintained a big lead over Chancellor Olaf Scholz’s Social... ,https://www.bloomberg.com/news/articles/2025-01-14/german-conservatives-scholz-s-spd-slip-in-latest-opinion-poll,2 hours ago
